host_name;asn;asn_v4;asn_v6;country_code;address_v4;address_v6
colocation singapore;63949;;;US;139.162.29.117;2400:8901::f03c:91ff:fe3b:d08
colocation dallas;36351;;;SG;45.33.5.55;2600:3c00::f03c:91ff:fe3b:d2d
world4you01.ring.nlnog.net;38955;;;AT;81.19.156.22;2a00:1a68:3:1::5d18:b819
swisscom01.ring.nlnog.net;3303;;;CH;193.247.170.254;2001:918:0:64::2
lwlcom01.ring.nlnog.net;50629;;;DE;185.55.116.5;2a00:c380:1337:1::5
isarnet01.ring.nlnog.net;197164;;;DE;192.162.230.35;2001:67c:2274:4021::101
redpilllinpro02.ring.nlnog.net;39029;;;NO;87.238.39.42;2a02:c0:400:108::1
amsio01.ring.nlnog.net;8315;;;NL;5.100.229.206;2a02:20b0:165::4
worldstream01.ring.nlnog.net;49981;;;NL;217.23.0.6;2a00:7c80:0:44::2
xconnect01.ring.nlnog.net;260;;;NL;185.19.100.58;2a04:1120:1::58
globalways01.ring.nlnog.net;48918;;;DE;94.186.187.3;2a02:c98:ffff:ff00::2
voxel01.ring.nlnog.net;29791;;;US;107.6.72.20;2001:48c8:3:2::2
amazon05.ring.nlnog.net;16509;;;US;50.112.109.154;2620:108:700f::3270:6d9a
infostrada01.ring.nlnog.net;34756;;;NL;176.58.30.6;2a03:fc01:0:105::21
cdw01.ring.nlnog.net;3599;;;US;64.73.41.115;2607:fee0:8008:1::10
qcom01.ring.nlnog.net;41497;;;IT;80.76.80.28;2001:4bb0:d:8::28
robtex01.ring.nlnog.net;48285;;;US;192.71.253.130;2a00:9c00:1000:130::2
sbtap01.ring.nlnog.net;59715;;;IT;185.5.201.240;2a02:cdc5:9715:0:185:5:201:240
teamix01.ring.nlnog.net;33988;;;DE;194.150.191.55;2001:67c:14c:12f::55:1
flhsi01.ring.nlnog.net;36295;;;US;208.90.223.6;2606:2400:223:4::6
tenet01.ring.nlnog.net;36944;;;ZA;155.232.10.18;2001:4200:fffb::20c:29ff:fe7e:8ea4
itps01.ring.nlnog.net;42010;;;GB;128.65.97.93;2A03:7F80:42:1051::93
maxitel02.ring.nlnog.net;61349;;;NL;91.205.215.130;2a04:4344:2:3::2
tdc01.ring.nlnog.net;3292;;;DK;193.162.154.27;2001:6c8:2:800::27
communityrack01.ring.nlnog.net;57118;;;CH;185.95.216.100;2a05:fc80:2:21::100
digitalocean04.ring.nlnog.net;393406;;;US;104.131.59.72;2604:a880:800:10::ed:6001
skyway01.ring.nlnog.net;196763;;;DE;109.234.105.30;2a00:18e0:0:dc:109:234:105:30
euronet01.ring.nlnog.net;5390;;;NL;194.134.192.4;2a02:2500:0000:040B::5
quadranet01.ring.nlnog.net;8100;;;US;104.223.2.2;2607:fcd0:100:22::2
atw01.ring.nlnog.net;41075;;;HU;88.151.99.253;2a01:270:91fd::1
digmia01.ring.nlnog.net;48304;;;SK;91.210.181.185;2a01:5200:100::7269:6b67:3031
ovh02.ring.nlnog.net;16276;;;FR;37.187.50.166;2001:41d0:52:400:0:0:0:53b
hosteam01.ring.nlnog.net;51290;;;PL;178.217.185.6;2001:67c:2044:c102::d8c0:be8f
immense01.ring.nlnog.net;7954;;;US;72.194.128.201;2620:8d:4000:1000::10
cloudnl01.ring.nlnog.net;60950;;;NL;185.23.24.149;2a00:6960:1:1::24:149:1
masterinternet01.ring.nlnog.net;24971;;;CZ;85.118.134.2;2a01:430:100:2::2
nts01.ring.nlnog.net;15576;;;CH;212.103.89.211;2a00:c38:2::5
leaseweb01.ring.nlnog.net;16265;;;NL;85.17.150.181;2001:1af8:4300:a004:8::2
inerail01.ring.nlnog.net;33031;;;US;192.92.237.76;2604:5980:1001:d::4
fremaks01.ring.nlnog.net;51827;;;DE;46.19.92.60;2a02:2918:0:fc00::a6a0:81d6
in2ip01.ring.nlnog.net;34141;;;NL;217.198.20.135;2a02:7d0:3:208:250:56ff:fe9c:1e
amazon02.ring.nlnog.net;16509;;;IE;176.34.122.81;2a01:578:3::b022:7a51
ism01.ring.nlnog.net;21162;;;NL;178.248.168.142;2a02:bd0:2:2::2
rootlu01.ring.nlnog.net;5577;;;LU;94.242.192.13;2a01:608:f::13
riseup01.ring.nlnog.net;16652;;;US;199.254.238.43;2620:13:4000:8000:e8:d6ff:fec2:dcd5
globalconnect01.ring.nlnog.net;42525;;;DK;212.98.93.10;2a01:7e8:1:800::1b2
totaalnet01.ring.nlnog.net;43190;;;NL;77.95.252.48;2a00:1478:50:0:11:913:0:1
gossamerthreads01.ring.nlnog.net;36483;;;CA;208.70.247.50;2607:fcc0:2:1:208:70:247:50
pix01.ring.nlnog.net;61417;;;PS;185.1.1.234;2001:7f8:72:200::1
simplytransit01.ring.nlnog.net;29550;;;GB;94.76.229.133;2a02:af8:1:4400::4481
maverick01.ring.nlnog.net;34688;;;PL;46.250.186.30;2a01:5e00:0:67::2
utwente01.ring.nlnog.net;1133;;;NL;130.89.6.17;2001:67c:2564:a115:250:56ff:fe89:6d65
inotel01.ring.nlnog.net;44514;;;PL;212.67.131.20;2a02:78:d443:8314::1
cesnet01.ring.nlnog.net;2852;;;CZ;78.128.211.50;2001:718:1:1f:50:56ff:feee:50
adix01.ring.nlnog.net;31731;;;NL;89.200.203.138;2001:67C:6B8:100::138
netsign01.ring.nlnog.net;31078;;;DE;217.115.1.67;2a00:1328:e000:456::67
iplan01.ring.nlnog.net;16814;;;AR;190.210.175.57;2800:40:c06::0001
iccn01.ring.nlnog.net;40387;;;US;72.36.126.205;2620:0:e10:400a::5
bogalnet01.ring.nlnog.net;50168;;;SE;31.31.162.99;2a02:4b00:1:f99::2
tuxis01.ring.nlnog.net;197731;;;NL;31.3.104.43;2a03:7900:2::31:3:104:43
iway01.ring.nlnog.net;8758;;;CH;212.25.27.3;2001:8e0:40:318:0:abcd:dead:beef
apnic01.ring.nlnog.net;4608;;;AU;203.133.248.14;2401:2000:6660::14
hivane01.ring.nlnog.net;34019;;;FR;193.17.192.2;2001:67c:1740:9003::c111:c002
peakten02.ring.nlnog.net;19271;;;US;64.239.240.36;2607:f758:8080:0:250:56ff:feaf:3c80
ehsab02.ring.nlnog.net;50986;;;SE;178.236.73.122;2a02:1610:1000:2::2
softlayer04.ring.nlnog.net;36351;;;US;50.23.64.60;2607:f0d0:2101:a::3
tumuenchen01.ring.nlnog.net;56357;;;DE;188.95.233.9;2a00:4700:0:2:2e0:81ff:fe2f:facb
mainloop01.ring.nlnog.net;43893;;;SE;185.9.166.9;2a01:298:f001:a700::10
pcextreme01.ring.nlnog.net;48635;;;NL;109.72.80.176;2a00:0f10:0105:0020:0000:0000:0000:0000
